education,food,groceries,nightlife,x,y
0,1,0,0,9.9797517,53.5541161
0,0,0,1,9.9798395,53.5534186
0,1,0,0,9.9805717,53.5517835
0,1,0,0,9.9802985,53.5517302
1,0,0,0,10.0168805,53.557588
0,1,0,0,9.8587833,53.598338
1,0,0,0,9.8225713,53.5583837
0,0,1,0,10.1407148,53.6254207
0,0,1,0,9.974446,53.6012135
1,0,0,0,10.0730022,53.574645
0,1,0,1,10.1735936,53.5689739
0,1,0,0,10.1546528,53.6026462
0,1,0,0,9.8462102,53.5745554
0,0,0,1,9.8614674,53.5980635
0,1,0,0,9.8736328,53.6004213
0,1,0,0,9.9982872,53.7225036
0,0,1,0,10.2364198,53.511582
0,0,1,0,10.2501462,53.5278097
0,0,1,0,10.1678568,53.5148215
0,0,1,0,10.1664973,53.5153864
0,0,1,0,9.8219919,53.6013344
0,0,1,0,10.2510403,53.5279097
0,1,0,0,10.1745448,53.5685648
0,1,0,0,10.033745,53.5367134
0,1,0,0,9.8404348,53.6080983
0,1,0,1,9.8430685,53.6054919
0,0,1,0,9.8369615,53.603229
0,1,0,0,10.0227351,53.5489483
0,1,0,0,10.0592474,53.570385
0,0,1,0,10.1389722,53.6252435
0,1,0,0,10.0248323,53.5448076
0,1,0,0,10.0250908,53.5444076
0,1,0,0,9.8720851,53.5336461
0,1,0,0,9.854674,53.469629
0,1,0,0,9.9391783,53.5441867
0,1,0,0,9.9343511,53.5444836
0,0,1,0,9.9054501,53.4325038
0,1,0,0,9.9836556,53.4491354
0,1,0,1,9.8471715,53.575941
0,1,0,1,10.0188561,53.5731091
1,0,0,0,9.8692335,53.573431
1,0,0,0,10.0603078,53.5617393
0,1,0,0,10.0191581,53.5657249
0,1,0,0,10.2868486,53.4696254
0,1,0,1,9.8749816,53.5881203
0,0,1,0,9.8739022,53.5908642
0,1,0,0,9.8980627,53.5716706
0,1,0,0,9.899189,53.5709497
0,1,0,0,9.8458704,53.5990664
0,1,0,0,9.9439957,53.5519122
0,1,0,0,10.1404681,53.6252064
0,1,0,0,10.1406916,53.624368
0,0,1,0,10.142797,53.6173836
0,1,0,0,9.8083435,53.556464
0,1,0,0,10.0119373,53.6000436
0,1,0,1,9.9680793,53.5563329
0,1,0,0,9.8520969,53.4723112
0,1,0,0,9.9430573,53.5445995
0,1,0,0,9.9543888,53.5529903
0,1,0,0,10.0434769,53.5822487
0,1,0,0,10.2362474,53.6695052
0,1,0,0,10.2403738,53.6753883
0,1,0,0,9.9552266,53.5608947
0,0,1,0,9.9525711,53.6212615
0,0,1,0,9.9521302,53.6198785
0,1,0,0,9.9510295,53.6225997
1,0,0,0,10.125596,53.6687844
0,1,0,1,10.033035,53.5362159
0,1,0,0,10.0410454,53.530058
0,1,0,1,10.043123,53.5340089
0,1,0,0,9.9524687,53.5842553
0,1,0,0,9.9520727,53.5460689
0,1,0,0,10.295403,53.4243717
0,0,1,0,10.2953452,53.4242573
0,1,0,1,9.9056304,53.5957367
0,0,1,0,9.9015543,53.7212495
0,1,0,0,9.9154207,53.7263723
0,1,0,0,9.8970965,53.7288543
0,1,0,1,9.9822892,53.5512758
0,1,0,1,9.8534071,53.4707001
0,1,0,0,9.8367788,53.6020363
0,0,1,0,9.9512187,53.5748036
0,1,0,0,9.7746312,53.6726163
0,1,0,0,9.9623522,53.5548135
0,0,1,0,9.9452312,53.4614669
0,1,0,1,9.8774222,53.587598
0,0,1,0,10.0828696,53.5200147
0,1,0,0,9.9620853,53.5542591
0,1,0,1,9.8625322,53.5978676
0,0,1,0,9.9615065,53.5638544
0,1,0,1,9.8430047,53.6017946
0,1,0,1,9.9834256,53.5642879
0,1,0,0,10.008692,53.5797247
0,1,0,0,10.0138637,53.5791474
0,1,0,0,10.0135953,53.5793228
0,1,0,0,10.0128132,53.5796896
0,1,0,0,10.0126782,53.5803758
0,1,0,0,10.0083052,53.5812311
0,1,0,0,9.9751408,53.5842424
0,1,0,0,10.0090701,53.5814749
0,0,1,0,10.0101593,53.5826166
0,1,0,0,10.0076226,53.5810869
0,1,0,0,10.0079497,53.5806824
0,1,0,0,10.0114654,53.5813638
0,1,0,0,10.0128148,53.5814729
0,0,1,0,9.8884156,53.6018873
0,1,0,0,10.0393127,53.5460464
0,0,1,0,10.0464781,53.5886549
0,1,0,1,9.9510086,53.5726134
0,1,0,0,9.9497206,53.5733288
0,1,0,0,9.9480258,53.5736574
0,1,0,0,9.9533956,53.5778716
0,1,0,0,9.7745337,53.4060943
0,1,0,0,9.9618583,53.5596637
0,1,0,1,10.0365558,53.5623009
0,1,0,0,10.0342563,53.5646511
0,1,0,0,10.0285217,53.5694903
0,1,0,0,10.0279222,53.5700016
0,1,0,0,10.0302686,53.571335
0,1,0,0,10.0408825,53.5795062
0,1,0,1,10.0412816,53.5794042
0,0,1,0,10.0418762,53.579985
0,1,0,0,10.0544179,53.5902134
0,0,1,0,10.046864,53.5840995
0,1,0,0,10.0385387,53.5780158
0,1,0,0,10.0377785,53.5768535
0,1,0,0,9.9867797,53.6746553
0,1,0,1,10.0451387,53.5337414
0,1,0,0,9.9891816,53.5722125
0,1,0,0,9.9781797,53.5707825
0,1,0,0,9.9771067,53.5660056
0,1,0,0,9.9996401,53.5489956
0,0,1,0,9.791587,53.6532019
0,0,0,1,10.0286073,53.5918004
0,0,1,0,9.984663,53.4568033
0,0,1,0,9.8555886,53.5824683
0,1,0,0,9.7870233,53.661276
0,1,0,0,9.7913222,53.6511538
0,1,0,0,9.7925178,53.6473181
0,1,0,0,10.0251887,53.5443248
0,1,0,0,9.8372443,53.471845
1,0,0,0,9.9758332,53.5697931
1,0,0,0,9.9755631,53.569677
1,0,0,0,9.9760938,53.5696644
1,0,0,0,9.9753908,53.5679326
1,0,0,0,9.9742063,53.5678537
0,1,0,0,10.2971687,53.6319471
0,0,1,0,10.286151,53.6394569
0,0,1,0,10.1799039,53.4871395
0,0,1,0,10.0255027,53.5848151
0,1,0,0,10.2935727,53.6417069
0,0,1,0,10.0620247,53.559977
0,1,0,0,10.0157023,53.5726609
0,1,0,0,10.0151288,53.5749295
0,1,0,0,9.9937604,53.5529768
0,1,0,0,10.0147238,53.5609297
0,0,1,0,9.9770497,53.5744469
0,0,1,0,10.0124163,53.5904641
0,1,0,0,10.0125105,53.5610587
0,1,0,0,9.9884581,53.5772999
0,1,0,0,9.9884582,53.5772082
0,0,0,1,9.9608715,53.5497242
0,1,0,1,9.9599637,53.5488785
0,0,1,0,9.9542057,53.5818781
0,1,0,1,9.9888758,53.5906869
0,1,0,0,9.9873511,53.5898565
0,1,0,1,9.9786354,53.5789243
0,1,0,1,9.9794565,53.5794546
0,1,0,1,10.2917261,53.5890651
0,1,0,0,10.2218996,53.482874
0,1,0,0,9.9782492,53.5808166
0,1,0,0,9.9802155,53.5797242
0,1,0,0,9.9796812,53.7023403
0,1,0,0,9.9837719,53.7080142
0,0,1,0,9.9577644,53.6099021
0,1,0,1,10.040512,53.5962792
0,1,0,1,9.9600022,53.5466845
0,1,0,1,9.9600445,53.5465514
0,1,0,0,9.9941727,53.5517033
0,1,0,1,10.1659198,53.6916012
0,1,0,0,10.0085163,53.5566594
0,1,0,1,10.0099694,53.5535206
0,1,0,1,10.0098501,53.5538493
0,1,0,1,10.0125845,53.5580979
0,1,0,0,9.9813645,53.4481838
0,0,1,0,9.9899792,53.7071468
0,0,1,0,10.0518006,53.5550945
